Name,InsulationThickness,HeatFlux,Tskin
DP 0,0.5,0.2,37.006088256835938
DP 1,0.5,0.4,37.012172698974609
DP 2,0.5,0.6,37.018260955810547
DP 3,0.5,0.8,37.024349212646484
DP 4,0.5,1,37.030433654785156
DP 5,0.5,1.2,37.036521911621094
DP 6,0.5,1.4,37.042610168457031
DP 7,0.5,1.6,37.0486946105957
DP 8,0.5,1.8,37.054782867431641
DP 9,0.5,2,37.060871124267578
DP 10,1,0.2,37.006851196289063
DP 11,1,0.4,37.013702392578125
DP 12,1,0.6,37.020553588867188
DP 13,1,0.8,37.027400970458984
DP 14,1,1,37.034252166748047
DP 15,1,1.2,37.041103363037109
DP 16,1,1.4,37.047954559326172
DP 17,1,1.6,37.054805755615234
DP 18,1,1.8,37.0616569519043
DP 19,1,2,37.068508148193359
DP 20,1.5,0.2,37.007598876953125
DP 21,1.5,0.4,37.015193939208984
DP 22,1.5,0.6,37.022792816162109
DP 23,1.5,0.8,37.030387878417969
DP 24,1.5,1,37.037986755371094
DP 25,1.5,1.2,37.045581817626953
DP 26,1.5,1.4,37.053180694580078
DP 27,1.5,1.6,37.060775756835938
DP 28,1.5,1.8,37.068374633789063
DP 29,1.5,2,37.075969696044922
DP 30,2,0.2,37.008304595947266
DP 31,2,0.4,37.016609191894531
DP 32,2,0.6,37.0249137878418
DP 33,2,0.8,37.033218383789063
DP 34,2,1,37.041522979736328
DP 35,2,1.2,37.049827575683594
DP 36,2,1.4,37.058132171630859
DP 37,2,1.6,37.066436767578125
DP 38,2,1.8,37.074741363525391
DP 39,2,2,37.083045959472656
DP 40,2.5,0.2,37.00897216796875
DP 41,2.5,0.4,37.0179443359375
DP 42,2.5,0.6,37.02691650390625
DP 43,2.5,0.8,37.035888671875
DP 44,2.5,1,37.04486083984375
DP 45,2.5,1.2,37.0538330078125
DP 46,2.5,1.4,37.06280517578125
DP 47,2.5,1.6,37.07177734375
DP 48,2.5,1.8,37.08074951171875
DP 49,2.5,2,37.0897216796875
DP 50,3,0.2,37.009605407714844
DP 51,3,0.4,37.019210815429688
DP 52,3,0.6,37.028816223144531
DP 53,3,0.8,37.038421630859375
DP 54,3,1,37.048027038574219
DP 55,3,1.2,37.057632446289063
DP 56,3,1.4,37.067237854003906
DP 57,3,1.6,37.076847076416016
DP 58,3,1.8,37.086452484130859
DP 59,3,2,37.0960578918457
DP 60,3.5,0.2,37.010211944580078
DP 61,3.5,0.4,37.020427703857422
DP 62,3.5,0.6,37.0306396484375
DP 63,3.5,0.8,37.040851593017578
DP 64,3.5,1,37.051063537597656
DP 65,3.5,1.2,37.061279296875
DP 66,3.5,1.4,37.071491241455078
DP 67,3.5,1.6,37.081703186035156
DP 68,3.5,1.8,37.091915130615234
DP 69,3.5,2,37.102130889892578
DP 70,4,0.2,37.010799407958984
DP 71,4,0.4,37.021602630615234
DP 72,4,0.6,37.032402038574219
DP 73,4,0.8,37.0432014465332
DP 74,4,1,37.054004669189453
DP 75,4,1.2,37.064804077148438
DP 76,4,1.4,37.075603485107422
DP 77,4,1.6,37.086406707763672
DP 78,4,1.8,37.097206115722656
DP 79,4,2,37.108005523681641
DP 80,4.5,0.2,37.011375427246094
DP 81,4.5,0.4,37.022747039794922
DP 82,4.5,0.6,37.034122467041016
DP 83,4.5,0.8,37.045497894287109
DP 84,4.5,1,37.056869506835938
DP 85,4.5,1.2,37.068244934082031
DP 86,4.5,1.4,37.079620361328125
DP 87,4.5,1.6,37.090991973876953
DP 88,4.5,1.8,37.102367401123047
DP 89,4.5,2,37.113742828369141
DP 90,5,0.2,37.011936187744141
DP 91,5,0.4,37.023876190185547
DP 92,5,0.6,37.035812377929688
DP 93,5,0.8,37.047752380371094
DP 94,5,1,37.059688568115234
DP 95,5,1.2,37.071624755859375
DP 96,5,1.4,37.083564758300781
DP 97,5,1.6,37.095500946044922
DP 98,5,1.8,37.107440948486328
DP 99,5,2,37.119377136230469
